x0,y0,x1,y1,realSeparation,desiredSeparation,pairHeadingAngle,desiredOrientation,time,frequency
248 , 283 , 359 , 254 , 114.726 , 120.0 , 14.642 , 0.0 , 1.358 , -40.548
249 , 283 , 359 , 254 , 113.759 , 120.0 , 14.769 , 0.0 , 1.378 , -42.483
249 , 283 , 358 , 254 , 112.792 , 120.0 , 14.899 , 0.0 , 1.391 , -44.416
249 , 283 , 358 , 253 , 113.053 , 120.0 , 15.388 , 0.0 , 1.407 , -43.894
249 , 284 , 358 , 253 , 113.323 , 120.0 , 15.876 , 0.0 , 1.424 , -43.355
249 , 284 , 359 , 253 , 114.285 , 120.0 , 15.739 , 0.0 , 1.445 , -41.431
249 , 284 , 360 , 253 , 115.248 , 120.0 , 15.604 , 0.0 , 1.474 , -39.505
249 , 284 , 359 , 253 , 114.285 , 120.0 , 15.739 , 0.0 , 1.492 , -41.431
249 , 284 , 358 , 253 , 113.323 , 120.0 , 15.876 , 0.0 , 1.509 , -43.355
249 , 285 , 358 , 253 , 113.6 , 120.0 , 16.361 , 0.0 , 1.525 , -42.8
249 , 285 , 359 , 252 , 114.843 , 120.0 , 16.699 , 0.0 , 1.54 , -40.313
249 , 285 , 360 , 252 , 115.802 , 120.0 , 16.557 , 0.0 , 1.576 , -38.397
249 , 285 , 359 , 252 , 114.843 , 120.0 , 16.699 , 0.0 , 1.59 , -40.313
249 , 285 , 360 , 251 , 116.09 , 120.0 , 17.03 , 0.0 , 1.607 , -37.819
249 , 286 , 360 , 251 , 116.387 , 120.0 , 17.501 , 0.0 , 1.625 , -37.225
248 , 286 , 360 , 252 , 117.047 , 120.0 , 16.887 , 0.0 , 1.642 , -35.906
248 , 286 , 361 , 252 , 118.004 , 120.0 , 16.746 , 0.0 , 1.657 , -33.992
247 , 286 , 362 , 253 , 119.641 , 120.0 , 16.011 , 0.0 , 1.708 , -30.718
247 , 285 , 362 , 252 , 119.641 , 120.0 , 16.011 , 0.0 , 1.723 , -30.718
246 , 285 , 363 , 253 , 121.297 , 120.0 , 15.297 , 0.0 , 1.773 , -27.406
246 , 285 , 363 , 254 , 121.037 , 120.0 , 14.84 , 0.0 , 1.814 , -27.926
245 , 285 , 363 , 254 , 122.004 , 120.0 , 14.72 , 0.0 , 1.823 , -25.992
245 , 284 , 364 , 254 , 122.723 , 120.0 , 14.149 , 0.0 , 1.839 , -24.553
245 , 284 , 364 , 255 , 122.483 , 120.0 , 13.696 , 0.0 , 1.856 , -25.035
245 , 284 , 364 , 254 , 122.723 , 120.0 , 14.149 , 0.0 , 1.873 , -24.553
244 , 284 , 364 , 255 , 123.454 , 120.0 , 13.586 , 0.0 , 1.891 , -23.091
245 , 284 , 364 , 255 , 122.483 , 120.0 , 13.696 , 0.0 , 1.912 , -25.035
