x0,y0,x1,y1,realSeparation,desiredSeparation,pairHeadingAngle,desiredOrientation,time,frequency
252 , 287 , 370 , 276 , 118.512 , 120.0 , 5.326 , 0.0 , 1.128 , -32.977
252 , 286 , 371 , 277 , 119.34 , 120.0 , 4.325 , 0.0 , 1.144 , -31.32
251 , 286 , 371 , 277 , 120.337 , 120.0 , 4.289 , 0.0 , 1.161 , -29.326
251 , 286 , 372 , 277 , 121.334 , 120.0 , 4.254 , 0.0 , 1.178 , -27.332
251 , 286 , 372 , 278 , 121.264 , 120.0 , 3.783 , 0.0 , 1.194 , -27.472
251 , 284 , 373 , 278 , 122.147 , 120.0 , 2.816 , 0.0 , 1.212 , 25.705
250 , 284 , 373 , 279 , 123.102 , 120.0 , 2.328 , 0.0 , 1.228 , 23.797
250 , 283 , 374 , 280 , 124.036 , 120.0 , 1.386 , 0.0 , 1.244 , 21.927
250 , 283 , 375 , 281 , 125.016 , 120.0 , 0.917 , 0.0 , 1.279 , 19.968
251 , 282 , 375 , 282 , 124.0 , 120.0 , 0.0 , 0.0 , 1.312 , 22.0
251 , 281 , 375 , 282 , 124.004 , 120.0 , -0.462 , 0.0 , 1.327 , 21.992
251 , 280 , 375 , 283 , 124.036 , 120.0 , -1.386 , 0.0 , 1.345 , 21.927
251 , 280 , 374 , 283 , 123.037 , 120.0 , -1.397 , 0.0 , 1.361 , 23.927
251 , 279 , 374 , 284 , 123.102 , 120.0 , -2.328 , 0.0 , 1.378 , 23.797
252 , 279 , 374 , 284 , 122.102 , 120.0 , -2.347 , 0.0 , 1.395 , 25.795
251 , 278 , 375 , 285 , 124.197 , 120.0 , -3.231 , 0.0 , 1.41 , 21.605
252 , 278 , 374 , 286 , 122.262 , 120.0 , -3.752 , 0.0 , 1.43 , 25.476
251 , 277 , 375 , 286 , 124.326 , 120.0 , -4.151 , 0.0 , 1.447 , 21.348
251 , 277 , 374 , 286 , 123.329 , 120.0 , -4.185 , 0.0 , 1.46 , 23.342
252 , 276 , 374 , 287 , 122.495 , 120.0 , -5.152 , 0.0 , 1.477 , 25.01
252 , 276 , 374 , 288 , 122.589 , 120.0 , -5.618 , 0.0 , 1.493 , 24.823
252 , 275 , 374 , 288 , 122.691 , 120.0 , -6.082 , 0.0 , 1.511 , 24.619
253 , 275 , 374 , 289 , 121.807 , 120.0 , -6.6 , 0.0 , 1.527 , 26.386
