233 , 269 , 416 , 269 , 183.0 , 0.0 , 0.023
232 , 269 , 416 , 269 , 184.0 , 0.0 , 0.038
233 , 269 , 416 , 269 , 183.0 , 0.0 , 0.054
232 , 270 , 416 , 269 , 184.003 , 0.311 , 0.099
233 , 270 , 416 , 269 , 183.003 , 0.313 , 0.113
233 , 270 , 415 , 269 , 182.003 , 0.315 , 0.131
233 , 271 , 416 , 268 , 183.025 , 0.939 , 0.143
233 , 271 , 416 , 269 , 183.011 , 0.626 , 0.16
233 , 271 , 416 , 268 , 183.025 , 0.939 , 0.174
233 , 271 , 415 , 268 , 182.025 , 0.944 , 0.203
233 , 271 , 414 , 268 , 181.025 , 0.95 , 0.338
232 , 271 , 414 , 268 , 182.025 , 0.944 , 0.369
233 , 271 , 414 , 268 , 181.025 , 0.95 , 0.383
232 , 270 , 414 , 268 , 182.011 , 0.63 , 0.458
233 , 271 , 413 , 268 , 180.025 , 0.955 , 0.491
232 , 270 , 413 , 268 , 181.011 , 0.633 , 0.503
233 , 270 , 413 , 268 , 180.011 , 0.637 , 0.533
232 , 270 , 413 , 268 , 181.011 , 0.633 , 0.548
233 , 270 , 413 , 268 , 180.011 , 0.637 , 0.653
232 , 270 , 412 , 268 , 180.011 , 0.637 , 0.668
233 , 270 , 413 , 268 , 180.011 , 0.637 , 0.683
233 , 270 , 413 , 267 , 180.025 , 0.955 , 0.714
233 , 270 , 413 , 268 , 180.011 , 0.637 , 0.729
233 , 270 , 412 , 268 , 179.011 , 0.64 , 0.759
233 , 269 , 413 , 267 , 180.011 , 0.637 , 0.774
233 , 270 , 413 , 268 , 180.011 , 0.637 , 0.793
233 , 269 , 413 , 267 , 180.011 , 0.637 , 0.803
233 , 269 , 412 , 267 , 179.011 , 0.64 , 0.818
233 , 270 , 412 , 267 , 179.025 , 0.96 , 0.834
233 , 270 , 412 , 268 , 179.011 , 0.64 , 0.85
233 , 269 , 413 , 268 , 180.003 , 0.318 , 0.865
234 , 270 , 413 , 268 , 179.011 , 0.64 , 0.88
233 , 270 , 413 , 267 , 180.025 , 0.955 , 0.896
233 , 270 , 412 , 267 , 179.025 , 0.96 , 0.913
234 , 270 , 412 , 267 , 178.025 , 0.966 , 0.928
233 , 270 , 412 , 268 , 179.011 , 0.64 , 0.947
234 , 270 , 412 , 267 , 178.025 , 0.966 , 0.978
234 , 270 , 412 , 268 , 178.011 , 0.644 , 0.996
234 , 270 , 412 , 267 , 178.025 , 0.966 , 1.011
234 , 270 , 412 , 268 , 178.011 , 0.644 , 1.078
234 , 270 , 412 , 267 , 178.025 , 0.966 , 1.128
234 , 270 , 412 , 268 , 178.011 , 0.644 , 1.144
234 , 270 , 412 , 267 , 178.025 , 0.966 , 1.161
234 , 270 , 412 , 268 , 178.011 , 0.644 , 1.178
234 , 270 , 412 , 267 , 178.025 , 0.966 , 1.194
234 , 270 , 412 , 268 , 178.011 , 0.644 , 1.213
235 , 270 , 411 , 267 , 176.026 , 0.977 , 1.227
234 , 270 , 411 , 268 , 177.011 , 0.647 , 1.244
234 , 270 , 412 , 267 , 178.025 , 0.966 , 1.261
235 , 270 , 412 , 268 , 177.011 , 0.647 , 1.277
234 , 270 , 412 , 267 , 178.025 , 0.966 , 1.294
234 , 270 , 411 , 268 , 177.011 , 0.647 , 1.311
235 , 270 , 411 , 267 , 176.026 , 0.977 , 1.327
234 , 270 , 411 , 268 , 177.011 , 0.647 , 1.344
234 , 270 , 412 , 268 , 178.011 , 0.644 , 1.36
235 , 270 , 411 , 267 , 176.026 , 0.977 , 1.378
235 , 270 , 412 , 268 , 177.011 , 0.647 , 1.395
