237 , 249 , 355 , 251 , 292 , 248 , 118.017 , 120 , -0.971 , 0.0 , 0.027 , 33.966
236 , 249 , 355 , 250 , 292 , 248 , 119.004 , 120 , -0.481 , 0.0 , 0.053 , 31.992
237 , 250 , 355 , 250 , 292 , 248 , 118.0 , 120 , 0.0 , 0.0 , 0.069 , 34.0
237 , 250 , 355 , 249 , 292 , 248 , 118.004 , 120 , 0.486 , 0.0 , 0.084 , 33.992
237 , 251 , 355 , 249 , 292 , 248 , 118.017 , 120 , 0.971 , 0.0 , 0.101 , 33.966
236 , 252 , 355 , 248 , 292 , 248 , 119.067 , 120 , 1.925 , 0.0 , 0.129 , 31.866
237 , 252 , 355 , 248 , 292 , 248 , 118.068 , 120 , 1.941 , 0.0 , 0.144 , 33.864
237 , 253 , 355 , 248 , 292 , 248 , 118.106 , 120 , 2.426 , 0.0 , 0.16 , -33.788
237 , 252 , 355 , 248 , 292 , 248 , 118.068 , 120 , 1.941 , 0.0 , 0.175 , 33.864
237 , 252 , 354 , 248 , 292 , 248 , 117.068 , 120 , 1.958 , 0.0 , 0.188 , 35.863
238 , 252 , 354 , 248 , 292 , 248 , 116.069 , 120 , 1.975 , 0.0 , 0.231 , 37.862
237 , 252 , 353 , 248 , 292 , 248 , 116.069 , 120 , 1.975 , 0.0 , 0.236 , 37.862
238 , 252 , 353 , 248 , 292 , 248 , 115.07 , 120 , 1.992 , 0.0 , 0.248 , 39.861
237 , 252 , 353 , 248 , 292 , 248 , 116.069 , 120 , 1.975 , 0.0 , 0.34 , 37.862
236 , 254 , 353 , 248 , 292 , 248 , 117.154 , 120 , 2.936 , 0.0 , 0.355 , -35.693
237 , 254 , 353 , 248 , 292 , 248 , 116.155 , 120 , 2.961 , 0.0 , 0.369 , -37.69
237 , 255 , 353 , 247 , 292 , 248 , 116.276 , 120 , 3.945 , 0.0 , 0.385 , -37.449
237 , 255 , 353 , 248 , 292 , 248 , 116.211 , 120 , 3.453 , 0.0 , 0.399 , -37.578
237 , 254 , 353 , 248 , 292 , 248 , 116.155 , 120 , 2.961 , 0.0 , 0.415 , -37.69
237 , 255 , 353 , 247 , 292 , 248 , 116.276 , 120 , 3.945 , 0.0 , 0.429 , -37.449
237 , 256 , 352 , 247 , 292 , 248 , 115.352 , 120 , 4.475 , 0.0 , 0.444 , -39.297
238 , 256 , 352 , 246 , 292 , 248 , 114.438 , 120 , 5.013 , 0.0 , 0.474 , -41.124
239 , 257 , 352 , 246 , 292 , 248 , 113.534 , 120 , 5.56 , 0.0 , 0.506 , -42.932
239 , 256 , 352 , 245 , 292 , 248 , 113.534 , 120 , 5.56 , 0.0 , 0.519 , -42.932
239 , 257 , 352 , 246 , 292 , 248 , 113.534 , 120 , 5.56 , 0.0 , 0.536 , -42.932
240 , 257 , 351 , 245 , 292 , 248 , 111.647 , 120 , 6.17 , 0.0 , 0.55 , -46.706
240 , 257 , 351 , 244 , 292 , 248 , 111.759 , 120 , 6.68 , 0.0 , 0.57 , -46.483
241 , 258 , 351 , 244 , 292 , 248 , 110.887 , 120 , 7.253 , 0.0 , 0.579 , -48.225
241 , 257 , 351 , 244 , 292 , 248 , 110.766 , 120 , 6.74 , 0.0 , 0.596 , -48.469
241 , 257 , 350 , 244 , 292 , 248 , 109.772 , 120 , 6.801 , 0.0 , 0.609 , -50.455
241 , 258 , 351 , 244 , 292 , 248 , 110.887 , 120 , 7.253 , 0.0 , 0.624 , -48.225
241 , 258 , 351 , 243 , 292 , 248 , 111.018 , 120 , 7.765 , 0.0 , 0.641 , -47.964
241 , 258 , 350 , 243 , 292 , 248 , 110.027 , 120 , 7.836 , 0.0 , 0.656 , -49.945
242 , 259 , 350 , 243 , 292 , 248 , 109.179 , 120 , 8.427 , 0.0 , 0.668 , -51.642
242 , 258 , 350 , 243 , 292 , 248 , 109.037 , 120 , 7.907 , 0.0 , 0.685 , -51.927
242 , 258 , 350 , 242 , 292 , 248 , 109.179 , 120 , 8.427 , 0.0 , 0.699 , -51.642
242 , 259 , 350 , 242 , 292 , 248 , 109.33 , 120 , 8.945 , 0.0 , 0.717 , -51.34
242 , 260 , 351 , 242 , 292 , 248 , 110.476 , 120 , 9.377 , 0.0 , 0.744 , -49.048
242 , 259 , 351 , 242 , 292 , 248 , 110.318 , 120 , 8.865 , 0.0 , 0.76 , -49.365
241 , 258 , 351 , 242 , 292 , 248 , 111.158 , 120 , 8.276 , 0.0 , 0.774 , -47.685
241 , 259 , 351 , 242 , 292 , 248 , 111.306 , 120 , 8.785 , 0.0 , 0.793 , -47.388
241 , 260 , 352 , 242 , 292 , 248 , 112.45 , 120 , 9.211 , 0.0 , 0.806 , -45.1
240 , 260 , 352 , 242 , 292 , 248 , 113.437 , 120 , 9.13 , 0.0 , 0.819 , -43.126
239 , 259 , 352 , 242 , 292 , 248 , 114.272 , 120 , 8.556 , 0.0 , 0.834 , -41.457
238 , 258 , 352 , 243 , 292 , 248 , 114.983 , 120 , 7.496 , 0.0 , 0.851 , -40.035
240 , 259 , 352 , 243 , 292 , 248 , 113.137 , 120 , 8.13 , 0.0 , 0.866 , -43.726
239 , 259 , 352 , 243 , 292 , 248 , 114.127 , 120 , 8.059 , 0.0 , 0.878 , -41.746
239 , 259 , 353 , 243 , 292 , 248 , 115.117 , 120 , 7.989 , 0.0 , 0.893 , -39.765
238 , 258 , 353 , 243 , 292 , 248 , 115.974 , 120 , 7.431 , 0.0 , 0.91 , -38.052
237 , 258 , 353 , 243 , 292 , 248 , 116.966 , 120 , 7.368 , 0.0 , 0.928 , -36.068
